City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Ilulissat,GL,2021-02-04 12:15:06,69.2167,-51.1,-4.0,45,1,13.8
154,Port Said,EG,2021-02-04 12:21:13,31.2565,32.2841,69.8,68,40,10.36
155,Sao Felix Do Xingu,BR,2021-02-04 12:21:14,-6.6447,-51.995,77.76,88,97,1.79
156,Mazamari,PE,2021-02-04 12:21:14,-11.3258,-74.5308,69.71,81,100,1.21
157,Mogadishu,SO,2021-02-04 12:18:43,2.0371,45.3438,84.2,58,20,19.57
158,Davila,PH,2021-02-04 12:21:14,18.4726,120.5763,77.0,61,20,9.22
159,Mackenzie,CA,2021-02-04 12:21:14,55.2999,-123.1698,14.0,92,90,4.61
160,Kruisfontein,ZA,2021-02-04 12:21:15,-34.0033,24.7314,79.0,61,93,7.0
161,Vestmannaeyjar,IS,2021-02-04 12:15:52,63.4427,-20.2734,37.4,87,75,28.77
162,Dunda,TZ,2021-02-04 12:21:15,-8.1167,34.25,84.79,49,31,2.19
163,Tura,IN,2021-02-04 12:15:35,25.5198,90.2201,65.16,54,0,1.99
164,Zemio,CF,2021-02-04 12:21:15,5.0314,25.1361,99.79,18,31,4.29
165,Kavieng,PG,2021-02-04 12:15:43,-2.5744,150.7967,82.09,75,100,8.19
166,Katsuura,JP,2021-02-04 12:12:14,35.1333,140.3,46.99,46,20,14.97
167,Alice Springs,AU,2021-02-04 12:15:41,-23.7,133.8833,82.4,61,90,12.66
168,Cochrane,CA,2021-02-04 12:21:15,51.1834,-114.4687,19.0,85,1,4.61
169,Minab,IR,2021-02-04 12:21:15,27.1467,57.0801,78.8,36,0,9.22
170,Sungai Udang,MY,2021-02-04 12:21:16,2.269,102.1427,82.0,74,20,4.61
171,Lisala,CD,2021-02-04 12:21:16,2.15,21.5167,98.6,34,64,3.38
172,Rocha,UY,2021-02-04 12:16:29,-34.4833,-54.3333,65.86,89,100,17.6
173,Moron,AR,2021-02-04 12:21:16,-34.6534,-58.6198,72.0,69,0,5.01
174,Bonthe,SL,2021-02-04 12:16:32,7.5264,-12.505,86.54,57,21,7.25
175,Hudson Bay,CA,2021-02-04 12:21:16,52.85,-102.3842,-5.31,89,99,6.76
176,Yulara,AU,2021-02-04 12:16:08,-25.2406,130.9889,78.8,73,35,2.3
177,Thompson,CA,2021-02-04 12:15:21,55.7435,-97.8558,-9.4,77,90,16.11
178,Tautira,PF,2021-02-04 12:17:14,-17.7333,-149.15,77.0,83,20,5.75
179,Tupi Paulista,BR,2021-02-04 12:21:17,-21.3811,-51.5706,80.22,78,90,3.96
180,Sarany,RU,2021-02-04 12:20:13,58.5,58.8833,16.14,97,100,3.22
181,Suihua,CN,2021-02-04 12:21:17,46.6406,126.9969,-13.0,88,0,7.16
182,Rognan,NO,2021-02-04 12:21:17,67.0953,15.3878,21.0,83,96,2.8
183,Diffa,NE,2021-02-04 12:21:18,13.3154,12.6113,85.3,14,27,17.63
184,Loandjili,CG,2021-02-04 12:21:18,-4.7561,11.8578,87.8,70,20,14.97
185,Amlagora,IN,2021-02-04 12:21:18,22.8333,87.3333,72.88,22,0,4.12
186,Aksu,CN,2021-02-04 12:21:19,41.1231,80.2644,34.65,68,0,5.37
187,Xining,CN,2021-02-04 12:14:07,36.6167,101.7667,29.59,62,100,3.58
188,Ipixuna,BR,2021-02-04 12:21:19,-1.7625,-48.8043,82.4,83,20,6.91
189,Khetia,IN,2021-02-04 12:21:19,21.6667,74.5833,85.93,20,9,2.93
190,Morehead,US,2021-02-04 12:21:19,37.2711,-87.1764,34.0,60,1,3.44
191,Te Anau,NZ,2021-02-04 12:21:19,-45.4167,167.7167,49.14,86,44,1.19
192,Salinas,US,2021-02-04 12:17:05,36.6777,-121.6555,46.0,87,1,3.49
193,Carnarvon,AU,2021-02-04 12:15:20,-24.8667,113.6333,86.0,85,90,25.32
194,Merauke,ID,2021-02-04 12:21:20,-8.4667,140.3333,81.34,83,69,12.59
195,Penzance,GB,2021-02-04 12:15:23,50.1186,-5.5371,48.2,93,75,2.3
196,Campbell River,CA,2021-02-04 12:21:21,50.0163,-125.2446,37.99,100,100,2.13
197,Saint Anthony,US,2021-02-04 12:15:38,45.0205,-93.218,30.2,86,90,6.91
198,Magnolia,US,2021-02-04 12:21:21,33.2671,-93.2393,57.0,71,90,11.5
199,Quelimane,MZ,2021-02-04 12:21:21,-17.8786,36.8883,93.2,59,40,9.22
200,East London,ZA,2021-02-04 12:13:10,-33.0153,27.9116,75.2,83,75,10.36
201,Raga,SS,2021-02-04 12:21:21,8.4596,25.678,101.53,11,7,6.55
202,Bendigo,AU,2021-02-04 12:21:21,-36.7667,144.2833,77.0,32,93,2.15
203,San Cristobal,VE,2021-02-04 12:21:21,7.7669,-72.225,73.4,83,40,2.15
204,Rio Grande,BR,2021-02-04 12:18:39,-32.035,-52.0986,71.6,83,75,20.71
205,Port Keats,AU,2021-02-04 12:16:48,-14.25,129.55,83.71,79,100,12.5
206,Nizhniy Tsasuchey,RU,2021-02-04 12:21:22,50.5167,115.1333,9.43,92,100,5.12
207,Mehamn,NO,2021-02-04 12:15:29,71.0357,27.8492,28.4,93,90,10.36
208,Muyezerskiy,RU,2021-02-04 12:21:23,63.9333,31.65,8.89,93,100,13.94
209,Hailar,CN,2021-02-04 12:21:23,49.2,119.7,3.25,93,92,6.71
