City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Kapoeta,SS,70.38,clear sky,4.7717,33.5903,Eastgate Hotel
367,Lubao,PH,87.8,scattered clouds,14.9167,120.55,Hacienda Gracia
369,Razole,IN,75.2,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
370,Madang,PG,87.22,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
375,Kruisfontein,ZA,66.99,clear sky,-34.0033,24.7314,Oyster Bay House Rental
380,Conakry,GN,78.75,broken clouds,9.538,-13.6773,Riviera Royal Hotel
381,Jacareacanga,BR,73.92,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
382,Hualmay,PE,70.77,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
383,Acapulco,MX,78.8,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
384,Howard Springs,AU,79.0,heavy intensity rain,-12.497,131.047,buffalo beach hostel
386,Byron Bay,AU,89.6,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
389,La Brea,HN,74.7,clear sky,15.8,-85.9667,Hotel reynita
394,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
397,Kulhudhuffushi,MV,81.0,clear sky,6.6221,73.07,Haajy Guest House 1
399,Payo,ID,80.08,broken clouds,-3.7508,103.6372,Mess keban agung
400,Palauig,PH,85.48,clear sky,15.435,119.9045,Myhousebythesea
402,Chuy,UY,66.0,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
404,Yaguajay,CU,73.67,clear sky,22.3272,-79.2378,Hostal La Terraza
411,Ocos,GT,77.0,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
412,Benjamin Constant,BR,77.0,light rain,-4.3831,-70.0311,CASA AVALIADA
413,Cayenne,GF,77.0,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
415,Ambilobe,MG,76.01,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
418,San Felipe,VE,71.31,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
419,Gawler,AU,70.0,broken clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
420,Tessalit,ML,65.82,overcast clouds,20.1986,1.0114,
422,Yulara,AU,91.4,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
424,Koumra,TD,65.73,clear sky,8.9126,17.5539,Motel Espoir
425,Namibe,AO,70.88,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
426,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
430,Gilbues,BR,71.96,light rain,-9.8317,-45.3439,Hotel Camapuã
432,Kindu,CD,71.38,overcast clouds,-2.95,25.95,Résidence Okanda
433,Morros,BR,71.29,heavy intensity rain,-9.4467,-46.3003,
436,Nishihara,JP,71.6,scattered clouds,26.1842,127.7558,Minshuku Agaihama
437,Lubango,AO,66.15,light rain,-14.9172,13.4925,Hotel Serra da Chela
440,Port Moresby,PG,93.2,haze,-9.4431,147.1797,Lamana Hotel
444,Alyangula,AU,86.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
445,Sao Miguel Do Araguaia,BR,71.6,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
446,Trincomalee,LK,79.21,few clouds,8.5711,81.2335,Welcombe Hotel
448,Hirara,JP,75.2,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
451,San Cristobal,VE,65.75,overcast clouds,7.7669,-72.225,Pirineos
452,Karratha,AU,84.63,clear sky,-20.7377,116.8463,ibis Styles Karratha
454,Thiruvananthapuram,IN,84.2,haze,8.4833,76.9167,Hotel Residency Tower
455,Aborlan,PH,87.8,few clouds,9.4352,118.5492,Kevina Transient House
457,Ixtapa,MX,71.6,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
462,Rio De Janeiro,BR,77.0,broken clouds,-22.9028,-43.2075,Windsor Guanabara Hotel
464,Myitkyina,MM,75.76,clear sky,25.3833,97.4,Shwe Phyu Hotel
467,Kiunga,PG,95.07,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
470,Broken Hill,AU,75.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
471,Kanniyakumari,IN,78.89,clear sky,8.0833,77.5667,Sparsa
472,Itaituba,BR,80.6,light rain,-4.2761,-55.9836,Hotel Campos
473,Micheweni,TZ,81.23,overcast clouds,-4.9667,39.8333,
477,Itoman,JP,71.6,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
478,Waipawa,NZ,75.0,broken clouds,-41.4122,175.5153,Tora Coastal Walk
482,Don Sak,TH,86.0,few clouds,9.3168,99.6918,Sea Sun Moon Hostel
484,Barreirinha,BR,76.55,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
485,Lukang,TW,72.0,few clouds,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
488,Daltenganj,IN,66.88,clear sky,24.0333,84.0667,Hotel Galaxy Inn
493,Honiara,SB,78.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
497,Wajir,KE,72.48,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
501,Ahipara,NZ,68.23,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
503,Vaitape,PF,82.71,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
508,Orocue,CO,80.01,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
510,Bosaso,SO,74.08,scattered clouds,11.2842,49.1816,Red Sea Hotel
516,Abu Dhabi,AE,68.0,clear sky,24.4667,54.3667,Beach Rotana
518,Rabaul,PG,84.31,light rain,-4.1967,152.1721,Rabaul Hotel
520,Muana,BR,76.24,clear sky,-1.5283,-49.2167,Pousada Bella do Marajó
524,Tezu,IN,76.32,clear sky,27.9167,96.1667,Circuit House
525,Parati,BR,66.92,clear sky,-23.2178,-44.7131,Che Lagarto Paraty
530,Jiazi,CN,71.06,clear sky,22.8779,116.06700000000001,Hotel Jin Hao
532,Porangatu,BR,69.42,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
533,Manakara,MG,78.6,overcast clouds,-22.1333,48.0167,La Residence Manakara
535,Umtata,ZA,66.2,scattered clouds,-31.5889,28.7844,LLZZ Boutique Lodge
538,Bima,ID,85.28,scattered clouds,-8.4667,118.7167,Lambitu Hotel
543,Saint-Pierre,RE,81.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
544,Mount Darwin,ZW,66.51,overcast clouds,-16.7725,31.5838,
545,Matola,MZ,78.8,broken clouds,-25.9622,32.4589,Guesthouse Yuba
548,Tayu,ID,83.5,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
551,Grand Gaube,MU,80.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
552,Sabang,ID,82.45,few clouds,5.8933,95.3214,Hotel Citra
553,Silvassa,IN,79.0,clear sky,20.2667,73.0167,Wonderland Resort
555,Muli,MV,81.88,broken clouds,2.9167,73.5667,Medhufushi Island Resort
556,Reconquista,AR,66.47,clear sky,-29.15,-59.65,Grand Hotel
562,Luba,GQ,80.6,few clouds,3.4568,8.5547,
567,Sosua,DO,75.2,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
569,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
574,Ponnani,IN,75.2,haze,10.767000000000001,75.9252,Rouba Residency
576,Sauteurs,GD,77.0,few clouds,12.2167,-61.6333,Treetops Villa
579,Kibala,TD,73.4,clear sky,9.1104,18.3463,
582,Ruteng,ID,73.11,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
585,Vanimo,PG,82.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
586,Lagunas,PE,75.56,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
587,Tautira,PF,82.0,moderate rain,-17.7333,-149.15,Pension Oaoa
589,Launceston,AU,73.0,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
591,Alvorada,BR,70.11,light rain,-12.48,-49.1247,Cristal Plaza Hotel
592,Hambantota,LK,78.8,clear sky,6.1241,81.1185,Bungalow 63
593,Coffs Harbour,AU,80.6,broken clouds,-30.3,153.1333,Aquajet Motel
594,Pak Phanang,TH,87.8,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
596,Bandarbeyla,SO,75.94,light rain,9.4942,50.8122,JABIR HOTEL
599,Presidencia Roque Saenz Pena,AR,71.01,light rain,-26.7852,-60.4388,Hotel Gualok
600,Santa Fe,AR,73.0,clear sky,-31.6333,-60.7,Conquistador Hotel
603,Puri,IN,69.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
605,Sao Joao Da Barra,BR,71.08,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
609,Salalah,OM,73.4,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
612,Mabaruma,GY,72.73,overcast clouds,8.2,-59.7833,
613,Manaure,CO,77.16,overcast clouds,11.7751,-72.4445,Hotel Palaaima
614,Sawankhalok,TH,86.0,mist,17.316,99.8319,Boon Bunleng Resort
616,Denpasar,ID,87.8,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
620,Kheralu,IN,70.72,clear sky,23.8833,72.6167,Gopal lodg
621,Nkpor,NG,76.82,scattered clouds,6.1516,6.8446,First choice Hotel
623,Misratah,LY,66.13,overcast clouds,32.3754,15.0925,فندق الماسة
627,La Asuncion,VE,75.83,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
629,Sulangan,PH,81.1,broken clouds,11.1373,123.7228,Maia's Beach Resort
630,Leopold,AU,66.2,overcast clouds,-38.1833,144.4667,Avila Vista
631,Bucerias,MX,71.6,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
632,Velasco Ibarra,EC,75.92,light rain,-1.05,-79.6167,White Room Studio
634,Labuhan,ID,83.32,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
638,Kokopo,PG,84.02,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
640,Kindia,GN,65.55,broken clouds,10.0569,-12.8658,LES EAUX DE KILISSI
643,Tucuman,AR,80.6,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
647,Bundaberg,AU,89.6,scattered clouds,-24.85,152.35,Takalvan Motel
652,Tomatlan,MX,65.98,clear sky,19.9333,-105.25,Norma franco
656,Fenyi,CN,66.06,broken clouds,27.8112,114.6681,Jinhao Hotel
659,Labuan,MY,86.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
662,Mangrol,IN,71.74,clear sky,21.1167,70.1167,Hotel The Royal Honours
665,Phan Thiet,VN,84.06,overcast clouds,10.9333,108.1,Hotel Saigon-PT
667,Pandan,PH,82.45,broken clouds,14.0453,124.1694,Bonifacio Lodge
669,Soto La Marina,MX,66.99,clear sky,23.7667,-98.2167,Hotel Chicago
671,Morondava,MG,81.16,broken clouds,-20.2833,44.2833,La Case Bambou
674,Moron,AR,75.0,clear sky,-34.6534,-58.6198,Hotel Morón
675,San Pedro De Macoris,DO,73.99,few clouds,18.4616,-69.2972,Apartahotel Guaraguao
676,Kalmunai,LK,81.1,few clouds,7.4167,81.8167,VS Villa
677,Ambulu,ID,87.51,few clouds,-8.345,113.6058,Hotel Ambulu Jember
678,Puerto Baquerizo Moreno,EC,76.51,few clouds,-0.9,-89.6,Hotel los Algarrobos
679,Poum,NC,81.32,clear sky,-20.2333,164.0167,Gîte kajeon
680,Dingle,PH,82.35,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
681,Vila Velha,BR,73.99,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
