City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
107,Ion Corvin,RO,44.1167,27.8,39.99,87,100,3.0,overcast clouds
108,Keflavik,IS,64.0049,-22.5624,35.6,60,0,14.97,clear sky
109,Butembo,CD,0.15,29.2833,58.33,70,46,1.3,scattered clouds
110,Aswan,EG,24.0934,32.907,54.75,65,0,4.97,clear sky
111,Sao Filipe,CV,14.8961,-24.4956,69.08,74,24,13.29,few clouds
112,Santa Marta,CO,11.2408,-74.199,84.2,58,20,11.5,few clouds
113,Hami,CN,42.8,93.45,40.1,54,87,3.85,overcast clouds
114,Cabo San Lucas,MX,22.8909,-109.9124,66.2,68,20,3.44,few clouds
115,Kavaratti,IN,10.5669,72.642,81.46,60,81,9.35,broken clouds
116,Khandyga,RU,62.6667,135.6,-20.42,85,92,1.59,overcast clouds
117,Yellowknife,CA,62.456,-114.3525,-41.01,66,1,3.44,fog
118,Yurimaguas,PE,-5.9,-76.0833,74.89,93,71,0.65,broken clouds
119,Okhotsk,RU,59.3833,143.3,4.46,87,96,21.99,overcast clouds
120,Kaitangata,NZ,-46.2817,169.8464,66.0,75,3,10.0,clear sky
121,Kyakhta,RU,50.3508,106.4494,1.65,90,98,5.12,overcast clouds
122,Portland,US,45.5234,-122.6762,46.99,87,90,6.91,overcast clouds
123,Wanaka,NZ,-44.7,169.15,79.07,29,0,7.29,clear sky
124,Tahe,CN,52.3333,124.7333,-3.32,83,22,4.14,few clouds
125,Shache,CN,38.4167,77.2406,33.76,73,3,4.03,clear sky
126,Nokaneng,BW,-19.6667,22.2667,67.96,93,92,5.41,light rain
127,Tilichiki,RU,60.4667,166.1,18.82,89,100,17.18,overcast clouds
128,Kindersley,CA,51.4668,-109.1682,-20.2,76,75,6.91,broken clouds
129,Gondanglegi,ID,-7.7479,112.0132,83.95,75,37,12.55,scattered clouds
130,Georgetown,MY,5.4112,100.3354,86.0,66,20,3.44,few clouds
131,Xifeng,CN,42.7372,124.7222,13.12,92,89,8.3,overcast clouds
132,San Quintin,MX,30.4833,-115.95,59.7,74,0,5.88,clear sky
133,Matagami,CA,49.7502,-77.6328,1.4,85,90,3.44,light snow
134,Hervey Bay,AU,-25.2986,152.8535,91.0,48,3,14.97,clear sky
135,Souillac,MU,-20.5167,57.5167,77.0,94,40,3.44,scattered clouds
136,Batagay-Alyta,RU,67.8006,130.4114,-25.74,83,100,1.63,overcast clouds
137,Leh,IN,34.1667,77.5833,8.06,51,0,2.04,clear sky
138,Husavik,IS,66.0449,-17.3389,32.0,74,90,5.75,overcast clouds
139,Alofi,NU,-19.0595,-169.9187,84.2,79,100,10.36,light rain
140,Casper,US,42.8666,-106.3131,12.2,85,20,4.61,few clouds
141,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,69,7.23,broken clouds
142,Cilegon,ID,-6.0174,106.0538,80.6,83,75,14.97,broken clouds
143,Port-Gentil,GA,-0.7193,8.7815,81.36,79,85,13.47,overcast clouds
144,Severo-Kurilsk,RU,50.6789,156.125,21.96,93,100,24.87,light snow
145,Lichtenburg,ZA,-26.152,26.1597,61.88,82,93,8.7,overcast clouds
146,Sorland,NO,67.667,12.6934,34.72,83,26,15.77,scattered clouds
147,Berlevag,NO,70.8578,29.0864,26.08,92,100,25.99,light snow
148,Ilhabela,BR,-23.7781,-45.3581,70.88,79,3,1.7,clear sky
149,San Clemente,US,33.427,-117.612,61.0,91,0,3.31,clear sky
150,Vera Cruz,BR,-12.6333,-41.0333,68.0,100,100,8.05,overcast clouds
151,Ancud,CL,-41.8697,-73.8203,62.01,67,0,3.44,clear sky
152,Guerrero Negro,MX,27.9769,-114.0611,61.95,60,0,7.52,clear sky
153,Mount Isa,AU,-20.7333,139.5,80.6,89,90,9.22,overcast clouds
154,Zonguldak,TR,41.25,31.8333,45.19,61,31,4.29,scattered clouds
155,Nome,US,64.5011,-165.4064,15.8,79,90,3.44,overcast clouds
156,Weihe,CN,32.9952,105.3247,51.39,38,34,4.09,scattered clouds
157,Port Elizabeth,ZA,-33.918,25.5701,68.0,77,0,12.66,clear sky
158,Lebu,CL,-37.6167,-73.65,58.21,93,79,2.77,broken clouds
159,Kahului,US,20.8947,-156.47,75.2,57,20,8.05,few clouds
160,Namatanai,PG,-3.6667,152.4333,85.6,65,75,7.85,broken clouds
161,Rosetta,EG,31.4044,30.4164,66.2,63,0,3.44,clear sky
162,Noyabrsk,RU,63.1994,75.4507,20.82,98,100,8.68,snow
163,Leningradskiy,RU,69.3833,178.4167,-10.86,74,6,5.82,clear sky
164,Maragogi,BR,-9.0122,-35.2225,76.71,87,80,7.56,broken clouds
165,Komsomolskiy,UZ,40.4272,71.7189,44.6,49,99,9.22,overcast clouds
166,Port Hedland,AU,-20.3167,118.5667,89.6,48,40,12.66,scattered clouds
167,Lorengau,PG,-2.0226,147.2712,84.96,73,91,6.91,overcast clouds
168,Mar Del Plata,AR,-38.0023,-57.5575,64.0,77,20,11.5,few clouds
169,French Harbor,HN,16.35,-86.4333,80.6,94,20,20.71,few clouds
170,Bambous Virieux,MU,-20.3428,57.7575,80.01,94,40,3.44,light rain
171,Khonsa,IN,27.0167,95.5667,63.55,48,1,2.53,clear sky
172,Cidreira,BR,-30.1811,-50.2056,66.92,78,7,6.26,clear sky
173,Mount Gambier,AU,-37.8333,140.7667,64.4,59,90,18.41,overcast clouds
174,Iralaya,HN,15.0,-83.2333,78.37,82,0,11.03,clear sky
175,Jaciara,BR,-15.9653,-54.9683,72.68,73,100,0.6,overcast clouds
176,Pisco,PE,-13.7,-76.2167,69.8,83,75,3.44,broken clouds
177,Venezuela,VE,8.0,-66.0,80.31,60,100,18.77,overcast clouds
178,Storforshei,NO,66.4043,14.5233,10.76,87,0,2.68,clear sky
179,Solnechnyy,RU,50.7214,136.6319,3.58,88,100,7.0,overcast clouds
180,Shingu,JP,33.7333,135.9833,59.0,47,20,16.11,few clouds
181,Katunino,RU,64.3862,40.6298,-11.2,84,75,2.24,broken clouds
182,Grindavik,IS,63.8424,-22.4338,33.8,60,0,14.97,clear sky
183,Flinders,AU,-34.5833,150.8552,82.0,60,75,13.8,broken clouds
184,Henties Bay,NA,-22.116,14.2845,63.0,90,7,3.0,clear sky
185,Bara,NG,10.3744,10.7288,68.99,23,100,7.9,overcast clouds
186,Victoria,HK,22.2855,114.1577,77.0,38,0,14.97,clear sky
187,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,59,0,4.61,clear sky
188,Talnakh,RU,69.4865,88.3972,-30.17,72,0,1.34,clear sky
189,Meulaboh,ID,4.1363,96.1285,83.5,71,67,3.31,broken clouds
190,Yerbogachen,RU,61.2767,108.0108,2.97,93,100,10.54,light snow
191,Lagoa,PT,39.05,-27.9833,60.22,91,98,27.87,overcast clouds
192,Bom Jesus,BR,-9.0744,-44.3586,71.15,94,100,6.51,overcast clouds
193,Kokoda,PG,-8.8785,147.7407,85.12,62,99,1.54,overcast clouds
194,Dumai,ID,1.6833,101.45,87.06,57,92,3.96,overcast clouds
195,Castro,BR,-24.7911,-50.0119,60.75,90,67,9.62,broken clouds
196,Sinnamary,GF,5.3833,-52.95,77.13,87,99,13.35,overcast clouds
197,Sistranda,NO,63.7256,8.834,21.2,86,20,10.36,few clouds
198,Aykhal,RU,66.0,111.5,-28.68,83,60,8.77,broken clouds
199,Vestmannaeyjar,IS,63.4427,-20.2734,37.71,78,28,25.39,scattered clouds
200,Beringovskiy,RU,63.05,179.3167,-8.41,90,72,10.49,broken clouds
201,Tabatinga,BR,-4.2525,-69.9381,77.0,100,40,2.08,light rain
202,Caravelas,BR,-17.7125,-39.2481,77.45,89,100,7.74,overcast clouds
203,Port Lincoln,AU,-34.7333,135.8667,65.23,62,81,13.53,broken clouds
204,Dikson,RU,73.5069,80.5464,-27.6,87,91,10.04,overcast clouds
205,Crotone,IT,39.0851,17.1178,55.0,48,100,1.99,overcast clouds
206,Junagarh,IN,19.8667,82.9333,67.73,34,29,2.53,scattered clouds
207,Tual,ID,-5.6667,132.75,83.64,79,100,21.18,moderate rain
208,Saint-Joseph,RE,-21.3667,55.6167,80.6,69,0,5.75,clear sky
209,Matara,LK,5.9485,80.5353,81.79,72,82,3.33,broken clouds
210,Mana,GF,5.6592,-53.7767,76.6,88,100,11.72,overcast clouds
211,Yumen,CN,40.2833,97.2,37.96,51,100,4.16,overcast clouds
212,Tynda,RU,55.1667,124.7167,-10.25,83,96,2.48,overcast clouds
213,Faya,SA,18.3851,42.4509,48.2,87,0,3.69,clear sky
214,Soyo,AO,-6.1349,12.3689,79.52,85,100,7.18,overcast clouds
215,Fort Nelson,CA,58.8053,-122.7002,-25.6,68,1,2.3,clear sky
216,Ulaanbaatar,MN,47.9077,106.8832,-4.0,77,0,2.04,clear sky
217,Mirnyy,RU,62.5353,113.9611,-14.91,89,100,3.51,overcast clouds
218,Longyearbyen,SJ,78.2186,15.6401,15.8,79,75,13.8,broken clouds
219,Parabel,RU,58.6978,81.4825,32.0,97,100,13.42,overcast clouds
220,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,0,5.75,clear sky
221,Half Moon Bay,US,37.4636,-122.4286,55.99,93,20,8.05,mist
222,Narsaq,GL,60.9167,-46.05,44.6,31,75,17.27,broken clouds
223,Kintampo,GH,8.0563,-1.7306,75.2,73,24,3.83,few clouds
224,Lasa,IT,46.6166,10.7002,39.0,100,90,6.91,snow
225,Tura,IN,25.5198,90.2201,65.66,48,100,3.56,overcast clouds
226,Mareeba,AU,-17.0,145.4333,91.0,74,99,8.05,overcast clouds
227,Dunedin,NZ,-45.8742,170.5036,66.0,68,0,7.0,clear sky
228,Sal Rei,CV,16.1833,-22.9167,66.2,63,90,18.41,overcast clouds
229,Zharkent,KZ,44.1628,80.0,34.12,79,100,0.89,overcast clouds
230,San Patricio,US,28.017,-97.5169,59.0,67,1,5.75,clear sky
231,Noumea,NC,-22.2763,166.4572,86.0,66,75,10.36,broken clouds
232,Kemin,KG,42.7846,75.6892,34.14,86,100,3.67,light snow
233,De Aar,ZA,-30.6497,24.0123,70.95,63,0,11.12,clear sky
234,High Prairie,CA,55.4334,-116.4858,-22.0,76,0,1.14,clear sky
235,Sarakhs,IR,36.5449,61.1577,44.6,81,84,4.61,broken clouds
236,Poopo,BO,-18.3667,-66.9667,50.25,75,97,6.31,overcast clouds
237,Nixa,US,37.0434,-93.2944,25.0,84,100,8.99,overcast clouds
238,Iberia,US,29.9502,-91.7507,57.2,94,90,6.4,overcast clouds
239,Tasiilaq,GL,65.6145,-37.6368,33.8,51,50,21.85,scattered clouds
240,Lucapa,AO,-8.4192,20.7447,66.88,96,100,0.74,overcast clouds
241,Kasongo-Lunda,CD,-6.4667,16.8167,71.83,88,100,1.07,overcast clouds
242,Tommot,RU,58.9564,126.2925,-10.98,83,100,1.01,overcast clouds
243,Galveston,US,29.3669,-94.9669,60.01,88,1,6.91,mist
244,Ust-Kuyga,RU,70.0167,135.6,-26.5,82,100,5.35,overcast clouds
245,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,82,40,15.19,scattered clouds
246,Biak,ID,-0.9131,122.8766,84.09,62,100,0.6,overcast clouds
247,Nanakuli,US,21.3906,-158.1547,78.01,44,1,13.8,clear sky
248,Russell,US,32.3502,-85.1999,42.8,87,90,5.75,overcast clouds
249,Taoudenni,ML,22.6783,-3.9836,58.48,39,39,11.68,scattered clouds
250,Zhezkazgan,KZ,47.8043,67.7144,12.83,94,35,14.94,scattered clouds
251,Arani,IN,12.6667,79.2833,71.74,57,9,4.43,clear sky
252,Saint-Leu,RE,-21.15,55.2833,80.01,62,36,2.46,scattered clouds
253,Tiksi,RU,71.6872,128.8694,-25.49,84,100,6.08,overcast clouds
254,Coihaique,CL,-45.5752,-72.0662,60.8,55,0,17.27,clear sky
255,Cermik,TR,38.1361,39.4493,28.4,93,0,3.44,clear sky
256,Hetauda,NP,27.4284,85.0322,44.6,81,20,2.3,mist
257,Kalvarija,LT,54.4,23.2333,-0.33,94,92,0.87,overcast clouds
258,Salto,UY,-31.3833,-57.9667,71.46,49,0,3.69,clear sky
259,Christchurch,NZ,-43.5333,172.6333,68.0,60,0,24.16,clear sky
260,Kenai,US,60.5544,-151.2583,17.01,86,90,3.44,fog
261,Necochea,AR,-38.5473,-58.7368,57.99,84,33,10.29,scattered clouds
262,Ucluelet,CA,48.9329,-125.5528,43.0,96,38,27.34,scattered clouds
263,Calama,CL,-22.4667,-68.9333,59.0,51,0,8.05,clear sky
264,Palasa,IN,18.7667,84.4167,75.38,45,8,2.84,clear sky
265,Carupano,VE,10.6678,-63.2585,74.68,86,100,10.58,overcast clouds
266,Anadyr,RU,64.75,177.4833,-13.0,84,0,8.95,clear sky
